GenConBlf,VacConBlf,InfoPros_Analytic,InfoPros_Experiential,Aff_MMR,Aff_Cov,RskMsl,RskCov,RskMmrVac,RskCovVac,BnfMmrVac,BnfCovVac,VacIntMMR,VacIntCOV_Child,VacIntCOV_Self,HstMMR_inconfidence,HstMMR_risk,HstCov_risk,HstCov_inconfidence,AttdMMRVac,AttdMeasles,AttdCovVac,AttdCov19,SbjNrmMMR,BhvCtrlMMR,SbjNrmCov,BhvCtrlCov,Condition,Gender,Ethnicity,Race,PolIdeo,SlfPolIdeo,age,marital,ChildNum,Income,Edu,Employ,States
3.8,3.42857142857143,6,2.8,4,3,5,3,2,3,4,3,4,3.5,3.5,2,3.5,3,2.71428571428571,3.5,4.6,3.5,4,4,4.5,4,4,1,1,2,4,3,3,3,1,1,10,5,6,9
2.93333333333333,3.14285714285714,4.4,4.2,3,4,3,3,3,2,2,3,3,3,3,2.71428571428571,3,3.5,3,3.33333333333333,3.2,2.66666666666667,3.8,3,3.5,3,3.5,1,2,1,1,3,2,2,1,1,1,5,7,5
3.2,2.85714285714286,5.4,3.6,3,3,3,3,2,2,3,3,3,4,4,3,3,2.5,3,3.16666666666667,3.2,3.16666666666667,4,3,3,3,3,1,1,2,1,3,2,3,1,1,11,5,6,23
4.53333333333333,3.28571428571429,4,3.4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,2,7,3,4,2,4,1,4,2,6,43
3.2,2.85714285714286,4,4.6,2,3,2,3,4,3,3,2,3,2.5,3.5,2.57142857142857,3.5,3,3,3.33333333333333,3.6,3.16666666666667,3.4,3,3,4,2.5,0, , , , , , , , , , , , 
4.13333333333333,4.57142857142857,6.4,6,5,4,2, ,3,4,3,5,4.5,4.5,4.5,1.71428571428571,4.5,5,1.57142857142857,2.5,3.25,2.5,4,4.5,4.5,5,4,2,1,2,1,1,1,3,1,2,6,6,6,32
3.8,4,5.6,5,3,3,3,3,3,3,3,3,4,4,4,2.14285714285714,4,3.5,2.28571428571429,2.66666666666667,3.4,2.83333333333333,3.2,4,3.5,4,4.5,1,1,2,1,4,1,2,1,1,2,5,6,47
3.14285714285714,2.42857142857143,4,3.8,2,3, ,3,3,3,3,3,2,3,3,3,3.5,3,2.57142857142857,3,3,2.83333333333333,3.2,3.5,3,3.5,4,2,2,1,1,2,1,3,1,2,6,5,6,22
2.13333333333333,3.28571428571429,7,1,4,4,5,5,2,2,5,4,5,3,3,1.14285714285714,3,4,2.57142857142857,3.33333333333333,5,2.83333333333333,4.6,5,5,3,4,3,2,2,1,3,3,3,5,3,5,3,6,13
4,2,4.4,1.8,4,3,4,5,1,3,3,2,4.5,2,2,2,3,3,3,3.66666666666667,3.2,2,3.8,4,4,2,3,3,1,2,2,5,2,4,1,1,11,5,6,5
2.86666666666667,3.71428571428571,4.6,2.8,2,2,3,2,3,3,3,2,3,2,2,2.57142857142857,3.5,4,3.28571428571429,3.33333333333333,3.6,2.5,2.8,3.5,2.5,3,3.5,0,1,2,1,1,1,3,1,1,10,5,6,22
4.06666666666667,2.85714285714286,4.6,5.2,4,3,4,3,5,4,4,4,3.5,3.5,4.5,2.28571428571429,2.5,3.5,2.57142857142857,3,3,2.6,3.6,3.5,3.5,3,4,3,1,2,1,2,2,2,1,2,6,5,6,9
3.73333333333333,3.57142857142857,5,2.8,4,2,2,2,2,4,3,1,1.5,1,1,2.28571428571429,3,4,4.14285714285714,3,3.4,2.66666666666667,3,3.5,4.5,1,3,0,2,2,1,2,3,3,1,3,8,3,3,30
2.53333333333333,3,5.4,2.8,4,3,2,4,2,2,3,3,2.5,2.5,3,3,3,3.5,3,2.66666666666667,3.2,3,2.4,4,3,3,3,1,1,2,4,3,3,2,1,1,2,5,4,6
3,3,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1, ,2,2,2,2,1,1,7,5,6,5
1.85714285714286,1.42857142857143,6,1.2,4,4,4,5,2,3,5,5,5,2,4,1.14285714285714,1.5,4,2.14285714285714,3.66666666666667,4.4,3.33333333333333,4.2,5,4.5,3,3.5,3,2,2,1,4,2,3,1,2,11,6,6,33
2.4,2.71428571428571,3.8,2.4,4,4,4,4,3,3,3,5,4.5,4,4,2.28571428571429,3,3,1.71428571428571,3.83333333333333,3.2,4,3.6,4.5,4.5,4,3,3,2,1,7,3,3,3,1,2,3,2,3,31
3.13333333333333,5,3.25,3.4,1,1,2,2,5,5,5,1,1,1,1,5,5,5,5,1.66666666666667,2.6,2.16666666666667,1.4,1,3,1,3,3,2,2,1,3,4,2,1,2,4,2,6,5
3.33333333333333,3,6,6,1,1,1,4,4,4,1,1,1,1,1,5,1,1,5,3.66666666666667,1.8,2.33333333333333,4.2,5,5,5,5,2,1,1,4,1,3,4,1,2,1,5,4,14
3.73333333333333,4.14285714285714,3.8,3.8,1,1,5,5,5,5,1,1,1,1,1,4.71428571428571,3,1,4.71428571428571,2,3.6,2.33333333333333,4.2,1,3,1.5,3,2,2,2,1,2,3,2,1,1,8,6,6,5
3.93333333333333,4,5,2.6,4,2,3,2,2,4,4,2,1.5,1,1,2.42857142857143,3,4,4.57142857142857,3.5,2.6,2,3,4,3.5,2.5,3,1,2,2,6,4,2,4,1,2,6,6,7,43
4.2,3.85714285714286,5.4,2.6,2,1,3,3,3,4,2,1,2,1,1,3.85714285714286,4,5,4.85714285714286,2.66666666666667,2.8,2.16666666666667,3,2,3.5,1,3,0,2,2,1,5,3,3,3,3,3,3,6,33
4.2,5,5,4.4,3,2,3,2,3,4,3,1,3,2,2,3.14285714285714,3.5,4,4,2.66666666666667,2.8,2.33333333333333,2.4,2.5,2,2,2,0,2,2,1,2,1,2,1,1,5,7,7,9
3.73333333333333,4.85714285714286,4,3.2,2,1,2,2,4,5,2,1,2,1,1,3.85714285714286,2.5,4,5,2,2,1.66666666666667,2.2,2,4,1,4,1,2,2,2,3,2,3,5,1,4,3,6,22
3.46666666666667,3.85714285714286,5.8,2.4,3,2,4,4,3,4,5,4,3,3.5,3,2.57142857142857,4,3.5,3,3.5,4.2,3,4.2,3,3.5,3,3.5,2, ,2,1,2,2,3,1,2, ,2,8,5
1.73333333333333,2.85714285714286,4.8,3.8,4,4,5,4,2,2,5,4,4,2,3.5,1.57142857142857,3.5,4,2,3.5,4.2,3.66666666666667,4.8,5,5,3.5,4,0,2,2,4,4,2,3,1,1,10,5,6,47
4.53333333333333,4.57142857142857,6.8,6,5,4,5,4,5,4,5,3,3,3,3.5,1.42857142857143,4.5,4.5,1.42857142857143,2.5,3.8,2.33333333333333,3.8,4.5,4.5,4.5,4,2,1,2,1,4,2,2,1,2,10,6,6,46
3.73333333333333,3.57142857142857,6,2.4,4,3,3,5,2,4,3,3,4.5,2.5,3,2,2.5,4,2.71428571428571,4.33333333333333,4,3.33333333333333,4.2,4.5,3.5,1.5,3.5,2,1,1,1,3,3,2,1,2,6,5,6,43
2.73333333333333,3.57142857142857,5,1.8,3,3,2,2,2,3,2,3,1,1,1,3.57142857142857,3.5,3.5,3.14285714285714,3.66666666666667,2.8,3,2.4,1,4,1,4,0,2,2,4,5,2,4,3,1,2,5,8,43
3.33333333333333,3,4.4,3.6,1,1,5,5,5,5,1,1,1,1.5,1.5,3.57142857142857,2,2.5,3.42857142857143,3,2.4,2.66666666666667,3.6,4,5,3,4,2,2,2,1,4,2,2,1,1,10,6,3,10
3.53333333333333,3.28571428571429,5.2,5,3,3,3,3,2,3,3,3,3,3,4,2.71428571428571,3,3,2.71428571428571,2.66666666666667,3.4,2.83333333333333,3.4,3,4,3.5,3.5,0,2,2,1,2,1,2,1,1,7,6,6,18
4.13333333333333,3.14285714285714,5.8,2.4,4,4,4,4,3,3,3,3,3.5,3.5,3.5,2.71428571428571,3.5,3.5,2.14285714285714,3.5,3.6,3,4.2,2,4,2.5,4,2,2,2,1,3,3,2,1,1,5,2,7,36
4.26666666666667,4,6.2,5.4,5,4,3,4,5,4,5,5,4,4.5,4,1.85714285714286,4,4.5,2.28571428571429,2.33333333333333,3.4,2.66666666666667,3.6,5,4,3.5,4.5,3,1,2,1,1,1,3,1,2,6,6,6,16
4.2,2.85714285714286,4.2,3,3,2,4,5,2,4,4,3,3.5,2,2,2,3,4.5,3.71428571428571,3.16666666666667,4.2,2.33333333333333,4,3.5,5,2,3.5,0,2,2,1,3,2,3,1,3,3,3,4,35
2.66666666666667,2.28571428571429,3.2,2.2,3,2,3,2,3,2,2,3,2.5,2.5,2,3.57142857142857,4,2.5,3.14285714285714,3,2.8,3,2.6,2,3,3,3,1,1,1,3,3,2,2,1,2,1,2,4,2
4.46666666666667,4.14285714285714,3.8,4.4,2,2,2,3,2,3,2,3,2.5,3,3,3.57142857142857,3.5,3,3.14285714285714,3,3,3,3.6,2,3,3,3.5,1,1,2,2,4,1,2,4,1,3,5,6,13
3.4,2.85714285714286,6,1.2,4,2,2,4,3,4,3,2,3.5,1,1,2.71428571428571,4.5,3.5,4.14285714285714,2.5,2.6,2.33333333333333,2.8,4.5,3.5,5,3.5,3,1,2,1,2,3,2,5,1,2,3,1,20
4.13333333333333,4.42857142857143,5.8,2.4,4,2,4,3,2,4,4,3,5,2.5,2.5,1.85714285714286,2.5,3,4.42857142857143,3.83333333333333,3.6,2.66666666666667,3.4,4,4,2,2,3,1,2,1,4,2,3,1,1,8,5,6,10
4.26666666666667,5,7,2.2,2,2,3,2,4,3,2,2,2,1,1,2.85714285714286,4,3.5,2.85714285714286,3.16666666666667,2.8,2.66666666666667,3,3,3,3,4,0,1,2,1,3,4,4,1,5,4,6,4,5
3.4,3.57142857142857,5,4.8,4,5,3,3,4,3,3,4,3.5,4,4,2.42857142857143,3,3.5,2.71428571428571,2.5,3.4,2.66666666666667,3.4,3.5,3,2.5,4,2,2,1,4,4,3,2,1,1,2,5,6,40
3.06666666666667,4,6.2,2.2,2,1,3,4,4,4,3,3,1,1,1,3.85714285714286,3.5,4,3.85714285714286,1.83333333333333,2,2.83333333333333,3.2,3,3,1.5,3,1,1,2,1,3,3,3,1,2,8,5,6,12
4.8,5,5.2,2.8,4,3,3,5,2,4,4,3,4,2.5,3,2,2,3,2.85714285714286,3.16666666666667,4.2,2.83333333333333,4.2,4,4,3.5,4,2,2,2,2,3,3,3,5,2,4,5,6,25
3.73333333333333,4.14285714285714,4.6,4,4,4,4,5,4,4,3,3,3.5,3.5,4,2,4,4,1.71428571428571,2.5,4,2.16666666666667,3.8,4,4,4.5,4,3,2,1,4,2,1,4,1,2,9,5,6,5
3.4,3.42857142857143,7,1.2,4,3,3,4,2,3,3,3,3,3,2,2.14285714285714,4,4,3,3.5,3.4,3.33333333333333,4,3,4,3,4,3,1,2,1,3,1,2,5,1,2,2,4,48
1.73333333333333,1.42857142857143,4.6,2,4,4,2,2,2,2,5,4,4,4,4,1.57142857142857,2,3.5,2,3.83333333333333,4.2,3.83333333333333,4.6,4.5,4,4,4.5,1,1,2,1,4,2,3,1,1,7,5,3,49
2.66666666666667,2.85714285714286,3.6,3.8,4,4,4,4,2,2,4,5,4.5,4.5,4.5,2.28571428571429,4,3.5,2,2.66666666666667,2.8,3.33333333333333,4,4,4.5,3.5,4,2,2,2,1,2,3,2,1,1,3,5,6,47
3.53333333333333,3.42857142857143,5.6,4.6,3,4,4,4,4,4,3,4,3.5,4,3.5,2.28571428571429,3.5,4.5,2.57142857142857,2.83333333333333,3.2,2.66666666666667,3.4,3.5,3.5,4,3.5,3,2,2,1,1,1,2,1,2,9,5,6,6
3.66666666666667,3.42857142857143,5.8,2.2,4,2,3,4,2,4,5,1,4.5,2.5,2,1.42857142857143,2.5,5,4.42857142857143,4.33333333333333,2.8,1.83333333333333,3.4,4.5,5,1.5,3,2,1,2,1,5,3,2,1,2,7,5,1,30
3.73333333333333,3.14285714285714,4.2,3,4,4,2,3,3,3,3,3,4,2.5,3.5,2.28571428571429,4,3.5,2.85714285714286,3,3.2,3.66666666666667,3,4,2,3.5,3.5,3,1,1,1,2,1,2,1,1,10,5,6,22
3.6,4.85714285714286,5.6,5,3,2,2,4,3,4,3,4,4,5,5,3.42857142857143,3,3,2.71428571428571,2.66666666666667,3.6,3.33333333333333,3.4,4.5,4.5,4.5,4,0,2,2,1,3,1,2,1,1,1,2,4,46
4,4.28571428571429,3.6,3.2,2,4,2,4,3,2,3,5,4,4,4,3,3,4,2,2.66666666666667,3.6,2.66666666666667,3.6,2,2,4,4,3,1,2,1,2,1,3,4,1,11,5,6,5
3,3.14285714285714,6.2,1,4,4,5,5,2,2,5,5,5,5,3.5,1,1.5,3,1.57142857142857,4.33333333333333,4,3.33333333333333,4.6,3,5,2.5,4.5,1,2,2,1,2,1,2,1,1,7,5,3,25
2.53333333333333,2.85714285714286,6.4,2.6,4,4,5,3,3,3,5,4,5,5,4,1.71428571428571,4.5,5,1.28571428571429,3.16666666666667,4,3.66666666666667,5,3,4,4,4.5,2,1,1,1,3,3,2,5,1,2,5,6,10
3,5,5.8,2,1,1,3,3,5,5,1,1,1,1,1,5,4,3,5,1.83333333333333,3.2,1.66666666666667,3.6,3,3,2.5,3,1,2,2,1,3,1,3,5,2,6,4,6,25
3,4.57142857142857,4,4.4,3,2,2,1,2,2,2,2,4,4,1,2.85714285714286,3.5,3.5,4,3.16666666666667,2.4,2.66666666666667,2.4,5,2,3,1.5,0,1,2,1,1,1,4,1,3,12,4,6,32
3.4,3,5,2.4,4,3,4,4,1,2,4,3,4,3.5,3.5,1.85714285714286,2,2.5,2.42857142857143,3.66666666666667,3.6,3.5,4.6,4.5,4,4,3.5,3,1,2,1,3,3,3,1,1,11,5,6,35
3.06666666666667,3.28571428571429,3.6,2.8,3,2,3,2,2,4,3,2,2,1,1,2.28571428571429,3,5,3.71428571428571,3.33333333333333,3.6,2.83333333333333,2.6,4,4,2,3,3,4,2,1,3,3,3,1,1,3,4,4,47
3.53333333333333,4,5.8,1.8,4,3,5,5,3,3,4,3,3.5,3,3,2.57142857142857,3,4,2.57142857142857,2.33333333333333,3.6,2.5,4.2,4.5,5,4.5,4.5,3,2,2,1,2,1,2,4,1,5,3,5,43
3.13333333333333,4.14285714285714,4.6,2.8,3,2,4,1,3,5,3,2,4,1,1,3.14285714285714,3,4,5,2.83333333333333,3.6,2.33333333333333,1.6,3,3,1,3,3,1,2,1,2,1,3,1,2,12,6,6,21
4.6,4.57142857142857,5.4,3.6,2,1,1,3,4,5,2,2,2.5,1,1,3.71428571428571,4.5,5,4.85714285714286,2.33333333333333,1.6,1.66666666666667,1.2,1,3,1,3,2,2,1,1,4,1,3,1,2,6,2,3,35
3.4,4.71428571428571,6.2,2,3,1,4,4,3,5,4,2,4,1,1.5,2,3,4.5,4.14285714285714,3.83333333333333,4.6,2,4,4.5,4.5,1,3.5,3,2,2,1,2,1,3,1,4,8,3,6,25
3.2,3.42857142857143,6.2,2.4,4,1,5,4,3,5,4,1,2.5,2,2,1.85714285714286,3.5,4,2.71428571428571,3.33333333333333,4.2,3,4.2,2,3.5,2,3,2,1,1,1,3,3,2,5,2,2,2,8,43
3.86666666666667,3.71428571428571,5.6,4.2,3,3,3,3,2,4,2,2,4,4,3.5,2.14285714285714,4,3.5,2,2.83333333333333,3.2,2.66666666666667,3,4,5,3.5,4.5,0,1,2,1,1,1,2,1,1,2,5,6,5
2.73333333333333,5,7,1,1,1,2,5,5,5,3,1,3.5,1,1,4.57142857142857,5,1,5,1.83333333333333,2.4,3.16666666666667,3.4,3,3,3.5,3,0,2,2,1,3,1,2,5,1,3,2,3,33
4.13333333333333,4.28571428571429,6.2,4.8,5,4,4,5,2,4,5,3,5,5,3,1.28571428571429,4.5,5,1.57142857142857,4,4,2.83333333333333,4.4,5,4.5,4.5,5,3,1,1,3,1,2,2,1,2,7,6,6,2
2.8,4.14285714285714,6,2,4,2,4,3,2,4,4,2,4,1,1,1.28571428571429,3.5,5,3,3.5,4.4,2.66666666666667,3.6,5,4.5,1,3,1,2,2,1,2,1,3,1,1,11,5,6,22
3.53333333333333,4,4.6,4.6,4,3,4,3,4,3,3,4,3.5,3.5,4,2.57142857142857,4,4,2,3.16666666666667,3,2.83333333333333,3.6,3.5,3.5,3,4,1,1,2,1,3,1,3,1,1,4,5,6,1
3.73333333333333,2.71428571428571,4.6,3.6,4,3,2,3,2,3,3,2,3,2,2,2.57142857142857,3.5,3.5,3.14285714285714,4.33333333333333,2.6,3.66666666666667,3.8,3,3,3,3.5,2,2,2,1,4,3,3,5,3,1,5,7,5
3.46666666666667,3.57142857142857,5.6,2.4,4,4,5,3,2,2,4,3,4,3,3,1.85714285714286,3.5,3.5,2.57142857142857,3.5,4.4,3.33333333333333,3.8,4,4,3,3.5,2,2,2,4,4,3,2,1,2,11,4,4,46
2,1.71428571428571,5.4,2.2,4,5,3,4,3,3,4,4,4,5,4.5,2.14285714285714,3.5,3.5,2,3.66666666666667,4.2,3.16666666666667,4.8,4.5,4,5,4,0,2,1,1,2,2,5,1,2,4,3,4,24
2.53333333333333,2.28571428571429,5.2,2.8,4,4,4,3,3,2,3,3,4,2,2,1.85714285714286,2.5,3.5,3,3.83333333333333,4,3,3.8,4,4,3,4,0,1,1,7,4,3,3,4,2,4,2,6,22
4.53333333333333,3.85714285714286,5.8,2.4,3,1,3,2,3,4,2,1,3,1,1,3,3.5,3.5,4.42857142857143,3.33333333333333,3.6,2.33333333333333,2.8,2,3.5,1.5,3,2,2,2,6,3,3,2,5,2,4,6,7,32
3.8,3.57142857142857,4.4,3.2,3,3,3,2,3,3,3,2,2.5,2.5,3.5,2.71428571428571,3.5,3.5,2.42857142857143,2.66666666666667,3.2,3.16666666666667,3.8,3.5,3.5,3.5,4,3,1,2,1,2,1,3,1,1,5,5,6,23
4.46666666666667,4.71428571428571,6.6,2,2,5,5,5,3,3,3,4,1,2.5,5,3.85714285714286,5,3,1.28571428571429,2.33333333333333,3.6,3,4,3.5,3.5,4.5,4.5,0,1,2,3,1,2,3,1,2,5,6,6,5
4,4.42857142857143,6.4,2.2,4,1,4,5,3,5,4,1,4,1,1,1.71428571428571,3.5,1,4.14285714285714,3.16666666666667,3.2,1.66666666666667,3.4,3.5,4,1,1,3,2,2,3,3,2,2,1,1,2,6,7,36
2.46666666666667,3.85714285714286,5.2,3.8,2,2,4,2,5,5,1,1,1,1,1,5,5,5,4.85714285714286,2.33333333333333,3.2,2.16666666666667,2.6,2.5,2.5,1.5,2.5,0,2,1,1,2,1,4,5,1,2,5,6,35
4.33333333333333,4.57142857142857,6.8,3,4,1,3,5,4,5,4,1,3.5,1,1,2,3.5,3,5,3.16666666666667,2.8,1.83333333333333,3.6,3,4,1,1,0,2,1,3,4,2,2,1,2,3,3,6,10
4.06666666666667,4.14285714285714,4.8,3.2,4,4,4,3,2,3,3,2,3,3,3,2,3.5,4,2.42857142857143,3.16666666666667,3.8,3.16666666666667,3.6,3.5,4,3,3.5,1,1,2,2,2,1,2,5,2,2,3,6,5
4.66666666666667,4.42857142857143,6.2,1.2,2,2,2,2,2,4,2,2,2,1,1,3.85714285714286,5,4.5,3.71428571428571,2.83333333333333,2.4,2.5,3.6,3,3.5,3.5,4,0,1,2,1,3,1,3,1,1,4,5,4,30
2.6,2.71428571428571,5,2.8,4,3,4,5,2,3,5,2,5,2.5,3,1.71428571428571,2.5,3.5,3.14285714285714,3.83333333333333,4.2,3.33333333333333,4.2,4,4,4,3.5,1,1,2,1,3,3,2,1,1,1,2,6,43
4.33333333333333,4.71428571428571,5.6,2,4,4,2,2,2,1,4,4,4,5,4.5,1.42857142857143,2,1.5,1.14285714285714,4.16666666666667,4.6,4.16666666666667,4.8,5,5,4.5,5,0,2,2,2,4,2,2,1,1,6,5,6,25
4.26666666666667,4.57142857142857,5.4,6.2,5,4,4,3,4,4,5,4,4.5,4.5,4.5,1.71428571428571,5,4.5,1.71428571428571,2.83333333333333,3,2.83333333333333,3.6,5,4,4.5,4.5,1,2,2,1,1,1,3,1,2,6,6,6,5
3.86666666666667,2.85714285714286,5.8,3.4,2,2,3,5,3,3,1,1,1,2.5,1.5,3.71428571428571,3.5,3,3.85714285714286,3.16666666666667,3.8,3.5,2.6,1,3,2.5,2,1,1,2,1,2,2,2,1,1,12,4,7,20
3.8,5,5.8,1,1,1,5,5,5,5,1,1,1,1,1,5,5,1,5,2.33333333333333,4.6,1.66666666666667,4.2,2,3,3,3,1,2,2,1,1,1,3,1,1,8,5,6,33
3.73333333333333,2.71428571428571,3.6,3.2,2,1,3,3,4,5,1,2,1.5,3,1.5,3.85714285714286,4,3.5,3,2.33333333333333,2.2,2.5,3,3.5,2.5,3.5,3,1,1,2,1,1,1,5,4,1,7,2,7,9
3.33333333333333,4.14285714285714,5,2.2,4,4,3,5,2,2,3,4,4,3.5,4,1.85714285714286,4,4,1.71428571428571,3.66666666666667,2.4,3,4,4,4.5,4,4.5,2,1,2,1,2,1,2,1,1,4,5,6,1
4.33333333333333,4.71428571428571,4.4,3.4,4,1,3,4,2,3,3,3,1.5,2,1.5,3.42857142857143,3,2.5,4.42857142857143,3.16666666666667,3.4,2.33333333333333,3.8,3,3,3.5,3,1,2,2,1,2,2,4,1,2,3,5,6,5
3.73333333333333,3.71428571428571,4.8,2.2,3,3,3,4,2,3,3,3,3,2.5,2.5,2.71428571428571,3.5,4,2.85714285714286,3.5,3.2,3,4.8,4,3.5,2.5,3.5,1,2,2,1,2,1,3,1,3,11,3,7,43
3.4,3.71428571428571,3.6,3.8,3,2,3,2,3,2,3,3,2,2.5,2.5,3,3.5,3.5,3.14285714285714,3,4,2.83333333333333,3.2,3,3.5,3.5,2.5,3,1,2,3,3,2,2,1,1,2,5,6,43
3.86666666666667,4.28571428571429,6.4,4,1,4,5,5,5,4,1,2,1,4.5,4.5,2.14285714285714,4.5,3.5,2.42857142857143,2.16666666666667,4,2.83333333333333,4.2,3,2.5,3.5,3.5,1,1,2,1,1,2,3,1,1,5,5,6,2
3.4,3,4,3.2,4,2,3,4,2,4,2,2,5,2.5,2,2.57142857142857,3,4.5,3.42857142857143,3.66666666666667,4,3,3.8,4,4,3,2,0,2,2,1,3,4,3,3,2,2,2,8,46
3.86666666666667,4.71428571428571,6.6,4.8,2,1,4,5,3,5,2,1,4,4,4,2.57142857142857,4,3,2.85714285714286,3,4.4,2.66666666666667,4,4.5,4.5,5,5,0,1,1,4,4,1,3,1,1,1,5,7,14
2.6,3.14285714285714,4.4,4.2,5,4,4,4,2,2,4,4,5,3,3.5,2.28571428571429,2.5,3,1.71428571428571,2.66666666666667,2.8,3.5,4,3.5,4,3.5,4,3,1,2,1,5,2,3,1,2,4,5,6,22
2.73333333333333,3,4.4,4,4,4,4,4,2,2,4,5,5,5,5,2,3,2.5,1.85714285714286,3,3.6,3,3,4,4,4,4,0,1,2,1,2,1,5,2,3,3,5,2,47
3.33333333333333,3,6,1.8,4,3,4,4,3,3,4,4,5,4,4,1.42857142857143,2.5,3,3,3.5,3.6,3.66666666666667,4.8,5,5,5,5,2,2,2,1,3,3,3,1,3,2,3,8,9
3.93333333333333,4.14285714285714,6.2,2.6,4,3,5,1,1,3,3,2,4,2,1.5,2.57142857142857,3.5,4.5,4.14285714285714,2.66666666666667,4,2.66666666666667,2.4,3.5,4.5,2,3,3,1,2,2,5,2,2,1,2,6,5,6,40
3.73333333333333,3.85714285714286,5.2,3.6,4,3,3,3,4,3,3,3,3.5,3.5,3.5,2.42857142857143,3.5,4,2.42857142857143,2.5,2.8,3.16666666666667,2.8,3.5,3.5,3.5,3.5,0,2,2,1,1,1,2,1,1,6,5,6,43
3.13333333333333,3.28571428571429,5.8,3,4,4,2,2,2,2,4,4,4,4,4,2.14285714285714,4.5,4,2.14285714285714,2.4,3.6,3,3.6,4,4,3.5,4,3,1,2,3,2,2,2,1,1,2,5,6,4
3,2.71428571428571,4.8,2.2,4,5,4,3,3,4,3,3,4,3,2,2.28571428571429,3,3.5,2.28571428571429,3.83333333333333,3.6,2.66666666666667,3.4,3.5,3,3.5,3.5,3,2,2,1,3,3,2,1,1,3,3,1,38
4.06666666666667,3.28571428571429,5.6,1.2,5,1,4,5,2,5,5,2,5,2,1.5,1.42857142857143,3,5,3.85714285714286,4.16666666666667,4.2,2.5,4.4,4.5,4.5,2,3.5,3,2,2,1,3,1,2,1,3,3,2,8,16
3.53333333333333,3.71428571428571,2.2,2.8,2,4,5,4,5,4,5,2,3.5,4.5,5,1.85714285714286,3.5,2.5,3.14285714285714,2.16666666666667,3.6,3,3.6,2,3.5,2.5,1,1,1,2,1,4,2,2,1,2,3,3,6,20
4.4,5,3.8,3.2,1,1,1,2,4,5,1,1,1,1,1,4.71428571428571,4,4,5,2.5,1.8,1.66666666666667,2.4,1,3,1,3,1,2,2,1,2,1,3,1,3,7,2,3,47
3.73333333333333,3.85714285714286,5.6,4.6,3,4,4,3,3,3,4,3,4,4,4,2.14285714285714,3,4,2.14285714285714,2.83333333333333,3.4,3.16666666666667,3.2,4.5,4.5,3.5,4,2,2,2,1,1,1,2,1,1,6,5,6,10
3.86666666666667,4,5.8,1.6,1,2,5,5,5,4,1,1,2,2,2,3.42857142857143,5,3.5,4,2.5,3.6,2.66666666666667,4.2,2,4,3,4,2, , , , , , , , , , , , 
3.73333333333333,3.14285714285714,6.6,2.8,2,3,2,3,2,3,3,2,3,3,3,3.14285714285714,2.5,4,3.28571428571429,2.66666666666667,3,2.83333333333333,3.4,3.5,3,3,3.5,0,2,2,1,3,1,2,1,1,6,5,6,32
3.26666666666667,3.71428571428571,4.8,1.8,2,1,2,3,3,4,2,1,3,2,2,3.14285714285714,3.5,5,3.71428571428571,3.5,2.8,2.33333333333333,3.2,3,3.5,3,3.5,1,2,2,1,2,1,2,1,3,7,4,6,44
2.73333333333333,3.28571428571429,6.4,1.8,2,2,3,3,3,4,3,3,3,1,1,3,3,4,3.42857142857143,2.66666666666667,3.4,2.33333333333333,4,3.5,4,3.5,3.5,2,2,2,1,2,1,2,1,2,4,3,3,28
3.26666666666667,3.42857142857143,6.4,3,4,3,5,5,2,3,4,2,4,3.5,3.5,1.42857142857143,2.5,4,2,3.83333333333333,4.2,3.16666666666667,3.4,4.5,5,3,4,3,1,1,3,3,3,2,1,2,3,5,6,1
3.66666666666667,3.71428571428571,5.2,4.8,3,4,2,3,3,2,2,3,2.5,2.5,3,3.28571428571429,3.5,3.5,2.42857142857143,2.83333333333333,3,3,3.4,4,3.5,3,4,2,2,2,1,4,2,2,1,2,9,5,6,6
